Round,batch_size,best epoch training_time,best_test_rmse,best_test_rmse_epoch,clip_gradients,decay_learning_rate,dropout_keep_prob,hidden_activation,hidden_layer_size,hidden_regularisation,hidden_regularizer,learning_rate,num_hidden_layers,optimizer
85,64,17s,0.8502993759999999,18,False,True,0.5,<function relu at 0x7fbb9a7f8c80>,800,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
86,64,37s,0.8599018279999999,18,False,False,0.5,<function softplus at 0x0000021FF30C0C80>,400,0.5,<function l1_regularizer at 0x0000021FF5D941E0>,0.0001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
87,256,1s,0.8623798890000001,18,False,True,0.8,<function softplus at 0x7fbb9a7fb378>,25,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
88,64,12s,0.8763321820000001,2,True,False,1.0,<function relu at 0x000001BDB9B75620>,50,1.0,<function l1_regularizer at 0x000001BDBC8381E0>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
89,256,5s,0.89873472,18,False,False,1.0,<function elu at 0x7fbb9a7e8c80>,400,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
90,256,1s,0.90847053,1,True,True,0.8,,800,2.0,<function l2_regularizer at 0x7f772095d510>,0.001,1,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
91,256,1s,0.911725357,17,False,True,0.8,<function elu at 0x7fbb9a7e8c80>,100,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
92,64,4s,0.91916615,12,False,True,0.5,<function elu at 0x7fbb9a7e8c80>,200,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
93,256,0s,0.928964122,9,True,False,1.0,,25,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
94,64,14s,0.939237122,19,False,False,1.0,,800,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
